,aff_city,aff_cityNow,aff_country,aff_countryNow,aff_locationString,aff_name,aff_nameNow,awardYear,category,categoryFullName,city,cityNow,continent,country,countryNow,date,dateAwarded,gender,id,knownName,locationString,motivation,portion,prizeAmount,prizeAmountAdjusted,prizeStatus,sortOrder,new_category,key_col,matches,check
0,"Stanford, CA","Stanford, CA",USA,USA,"Stanford, CA, USA",Stanford University,Stanford University,2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Montclair, NJ","Montclair, NJ",North America,USA,USA,1943-00-00,2001-10-10,male,745,A. Michael Spence,"Montclair, NJ, USA",for their analyses of markets with asymmetric information,1/3,10000000,12295082,received,2,Economics,amichaelspence2001economics,,0
1,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Mumbai,Mumbai,Asia,India,India,1961-02-21,2019-10-14,male,982,Abhijit Banerjee,"Mumbai, India",for their experimental approach to alleviating global poverty,1/3,9000000,9000000,received,1,Economics,abhijitbanerjee2019economics,,0
2,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Harvard University,Harvard University,2012,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"New York, NY","New York, NY",North America,USA,USA,1951-12-18,2012-10-15,male,882,Alvin E. Roth,"New York, NY, USA",for the theory of stable allocations and the practice of market design,1/2,8000000,8361204,received,1,Economics,alvineroth2012economics,alvinroth2012economics,22
3,Cambridge,Cambridge,United Kingdom,United Kingdom,"Cambridge, United Kingdom",Trinity College,Trinity College,1998,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Santiniketan,Santiniketan,Asia,India,India,1933-11-03,1998-10-14,male,719,Amartya Sen,"Santiniketan, India",for his contributions to welfare economics,1,7600000,9713701,received,1,Economics,amartyasen1998economics,,0
4,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Princeton University,Princeton University,2015,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Edinburgh,Edinburgh,Europe,Scotland,Scotland,1945-10-19,2015-10-12,male,926,Angus Deaton,"Edinburgh, Scotland","for his analysis of consumption, poverty, and welfare",1,8000000,8384572,received,1,Economics,angusdeaton2015economics,,0
5,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),2016,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Helsinki,Helsinki,Europe,Finland,Finland,1949-04-18,2016-10-10,male,936,Bengt Holmström,"Helsinki, Finland",for their contributions to contract theory,1/2,8000000,8301051,received,2,Economics,bengtholmström2016economics,,0
6,Stockholm,Stockholm,Sweden,Sweden,"Stockholm, Sweden",Stockholm School of Economics,Stockholm School of Economics,1977,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Klippan,Klippan,Europe,Sweden,Sweden,1899-04-23,1977-10-14,male,689,Bertil Ohlin,"Klippan, Sweden",for their pathbreaking contribution to the theory of international trade and international capital movements,1/2,700000,3080986,received,1,Economics,bertilohlin1977economics,,0
7,London,London,United Kingdom,United Kingdom,"London, United Kingdom",London School of Economics and Political Science,London School of Economics and Political Science,2010,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Nicosia,Nicosia,Europe,Cyprus,Cyprus,1948-02-20,2010-10-11,male,858,Christopher A. Pissarides,"Nicosia, Cyprus",for their analysis of markets with search frictions,1/3,10000000,10819388,received,3,Economics,christopherapissarides2010economics,,0
8,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Princeton University,Princeton University,2011,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Washington, DC","Washington, DC",North America,USA,USA,1942-10-21,2011-10-10,male,873,Christopher A. Sims,"Washington, DC, USA",for their empirical research on cause and effect in the macroeconomy,1/2,10000000,10545557,received,2,Economics,christopherasims2011economics,,0
9,"San Diego, CA","San Diego, CA",USA,USA,"San Diego, CA, USA",University of California,University of California,2003,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Swansea,Swansea,Europe,United Kingdom,United Kingdom,1934-09-04,2003-10-08,male,772,Clive W.J. Granger,"Swansea, United Kingdom",for methods of analyzing economic time series with common trends (cointegration),1/2,10000000,11807305,received,2,Economics,clivewjgranger2003economics,,0
10,"Evanston, IL","Evanston, IL",USA,USA,"Evanston, IL, USA",Northwestern University,Northwestern University,2010,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Enterprise, OR","Enterprise, OR",North America,USA,USA,1939-02-02,2010-10-11,male,857,Dale T. Mortensen,"Enterprise, OR, USA",for their analysis of markets with search frictions,1/3,10000000,10819388,received,2,Economics,daletmortensen2010economics,,0
11,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Princeton University,Princeton University,2002,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Tel Aviv,Tel Aviv,Asia,British Mandate of Palestine,Israel,1934-03-05,2002-10-09,male,759,Daniel Kahneman,"Tel Aviv, British Mandate of Palestine (now Israel)","for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",1/2,10000000,12034660,received,1,Economics,danielkahneman2002economics,danielkahneman2002economics,27
12,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,2000,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Raleigh, NC","Raleigh, NC",North America,USA,USA,1937-07-29,2000-10-11,male,733,Daniel L. McFadden,"Raleigh, NC, USA",for his development of theory and methods for analyzing discrete choice,1/2,9000000,11333109,received,2,Economics,daniellmcfadden2000economics,,0
13,"St. Louis, MO","St. Louis, MO",USA,USA,"St. Louis, MO, USA",Washington University,Washington University,1993,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Cambridge, MA","Cambridge, MA",North America,USA,USA,1920-11-05,1993-10-12,male,710,Douglass C. North,"Cambridge, MA, USA",for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,1/2,6700000,9044276,received,2,Economics,douglasscnorth1993economics,,0
14,"New York, NY","New York, NY",USA,USA,"New York, NY, USA",Columbia University,Columbia University,2006,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Evanston, IL","Evanston, IL",North America,USA,USA,1933-07-26,2006-10-09,male,807,Edmund S. Phelps,"Evanston, IL, USA",for his analysis of intertemporal tradeoffs in macroeconomic policy,1,10000000,11552680,received,1,Economics,edmundsphelps2006economics,,0
15,"Tempe, AZ","Tempe, AZ",USA,USA,"Tempe, AZ, USA",Arizona State University,Arizona State University,2004,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Glens Falls, NY","Glens Falls, NY",North America,USA,USA,1940-12-26,2004-10-11,male,787,Edward C. Prescott,"Glens Falls, NY, USA",for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,1/2,10000000,11762861,received,2,Economics,edwardcprescott2004economics,,0
16,"Bloomington, IN","Bloomington, IN",USA,USA,"Bloomington, IN, USA",Indiana University,Indiana University,2009,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Los Angeles, CA","Los Angeles, CA",North America,USA,USA,1933-08-07,2009-10-12,female,846,Elinor Ostrom,"Los Angeles, CA, USA","for her analysis of economic governance, especially the commons",1/2,10000000,10958504,received,1,Economics,elinorostrom2009economics,elinorostrom2009economics,25
17,"Princeton, NJ","Princeton, NJ",USA,USA,"Princeton, NJ, USA",Institute for Advanced Study,Institute for Advanced Study,2007,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"New York, NY","New York, NY",North America,USA,USA,1950-12-12,2007-10-15,male,821,Eric S. Maskin,"New York, NY, USA",for having laid the foundations of mechanism design theory,1/3,10000000,11301989,received,2,Economics,ericsmaskin2007economics,ericmaskin2007economics,23
18,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Paris,Paris,Europe,France,France,1972-10-25,2019-10-14,female,983,Esther Duflo,"Paris, France",for their experimental approach to alleviating global poverty,1/3,9000000,9000000,received,2,Economics,estherduflo2019economics,,0
19,"Chicago, IL","Chicago, IL",USA,USA,"Chicago, IL, USA",University of Chicago,University of Chicago,2013,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Boston, MA","Boston, MA",North America,USA,USA,1939-02-14,2013-10-14,male,894,Eugene F. Fama,"Boston, MA, USA",for their empirical analysis of asset prices,1/3,8000000,8365867,received,1,Economics,eugeneffama2013economics,,0
20,"Pittsburgh, PA","Pittsburgh, PA",USA,USA,"Pittsburgh, PA, USA",Carnegie Mellon University,Carnegie Mellon University,2004,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Gjesdal,Gjesdal,Europe,Norway,Norway,1943-12-01,2004-10-11,male,786,Finn E. Kydland,"Gjesdal, Norway",for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,1/2,10000000,11762861,received,1,Economics,finnekydland2004economics,,0
21,"Cambridge, MA","Cambridge, MA",USA,USA,"Cambridge, MA, USA",Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),1985,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Rome,Rome,Europe,Italy,Italy,1918-06-18,1985-10-15,male,699,Franco Modigliani,"Rome, Italy",for his pioneering analyses of saving and of financial markets,1,1800000,3843964,received,1,Economics,francomodigliani1985economics,francomodigliani1985economics,29
22,,,,,,,,1974,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Vienna,Vienna,Europe,Austria,Austria,1899-05-08,1974-10-09,male,685,Friedrich von Hayek,"Vienna, Austria","for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",1/2,550000,3263449,received,2,Economics,friedrichvonhayek1974economics,,0
23,"Chicago, IL","Chicago, IL",USA,USA,"Chicago, IL, USA",University of Chicago,University of Chicago,1992,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Pottsville, PA","Pottsville, PA",North America,USA,USA,1930-12-02,1992-10-13,male,708,Gary Becker,"Pottsville, PA, USA","for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",1,6500000,9184250,received,1,Economics,garybecker1992economics,garybecker1992economics,23
24,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"New Haven, CT","New Haven, CT",North America,USA,USA,1940-06-17,2001-10-10,male,744,George A. Akerlof,"New Haven, CT, USA",for their analyses of markets with asymmetric information,1/3,10000000,12295082,received,1,Economics,georgeaakerlof2001economics,georgeakerlof2001economics,26
